Resource,Hotel,Review,Stance,Authenticity
MTurk,hilton,"['stay', 'schicago', 'hilton', '4', 'day', '3', 'night', 'conference', 'say', 'normally', 'easy', 'go', 'amenity', 'cleanliness', 'like', 'however', 'experience', 'hilton', 'awful', 'take', 'time', 'actually', 'write', 'review', 'truly', 'stay', 'hotel', 'arrive', 'room', 'clear', 'carpet', 'vacuum', 'figuered', 'okay', 'carpet', 'saw', 'bathroom', 'although', 'bathroom', 'superficial', 'indicator', 'housekeep', 'recently', 'clean', 'e', 'paper', 'band', 'across', 'toilet', 'paper', 'cap', 'drinking', 'glass', 'etc', 'clear', 'actual', 'cleaning', 'take', 'place', 'spot', 'probably', 'urine', 'toilet', 'seat', 'kid', 'remnant', 'lip-smudge', 'glass', 'know', 'people', 'work', 'many', 'year', 'hotel', 'industry', 'always', 'warn', 'lazy', 'housekeeping', 'make', 'thing', 'appear', 'clean', 'fact', 'make', 'effort', 'keep', 'thing', 'sanitary', 'well', 'hilton', 'proof', 'call', 'downstairs', 'complain', 'send', 'chambermaid', 'hour', 'later', 'frankly', 'find', 'room', 'disgusting', 'hotel', 'outside', 'room', 'cavernous', 'unwelcoming', 'awful', 'echo', 'lobby', 'area', 'create', 'migraine-inducing', 'din', 'rarely', 'eager', 'leave', 'place', 'get', 'home', 'wash', 'clothes', 'whether', 'wear', 'skeeviness', 'accomodations', 'please', 'favor', 'stay', 'clean', 'hotel']",negative,deceptive
MTurk,hilton,"['hotel', 'locate', '1/2', 'mile', 'train', 'station', 'quite', 'hike', 'travel', 'luggage', 'kid', 'seem', 'cash', 'guest', 'arrive', 'private', 'car', 'charge', 'exorbitant', 'parking', 'valet', 'fee', 'room', 'feature', 'either', 'double', 'king', 'sized', 'bed', 'queen', 'bed', 'want', 'little', 'extra', 'leg', 'room', 'bed', 'price', 'jump', 'double', 'king-sized', 'stiff', 'room', 'kind', 'view', 'pay', 'healthy', 'surcharge']",negative,deceptive
MTurk,hilton,"['make', 'reservation', 'hilton', 'chicago', 'believe', 'go', 'stay', 'classy', 'hotel', 'many', 'amenity', 'unfortunately', 'stay', 'hilton', 'chicago', 'go', 'downhill', 'moment', 'check', 'one', 'clerk', 'front', 'desk', 'several', 'guest', 'already', 'wait', 'ahead', 'finally', 'get', 'check', 'located', 'room', 'discover', 'neither', 'room', 'key', 'work', 'make', 'way', 'back', 'front', 'desk', 'finally', 'make', 'room', 'appear', 'nice', 'enough', 'go', 'use', 'bathroom', 'find', 'toilet', 'clog', 'manager', 'move', 'new', 'room', ""can't"", 'complain', 'much', 'still', 'hassle', 'finally', 'settle', 'able', 'relax', 'rest', 'evening', 'look', 'forward', 'sleep', 'next', 'morning', 'front', 'desk', 'call', '5', 'wake', 'call', 'request', 'needle', 'say', 'overall', 'experience', 'hotel', 'leave', 'much', 'desire', 'choose', 'accommodation', 'next', 'trip', 'chicago']",negative,deceptive
MTurk,hilton,"['people', 'think', 'hilton', 'think', 'luxury', 'know', 'wish', ""i'd"", 'half', 'right', 'upon', 'arrive', 'inform', 'incompetent', 'staff', 'lose', 'reservation', 'entirely', 'auspicious', 'start', 'find', 'another', 'room', 'grant', 'new', 'room', 'oh-so-scenic', 'view', 'broadside', 'adjacent', 'building', 'fine', 'willing', 'let', 'slide', 'want', 'difficult', 'following', 'day', 'stay', 'get', 'little', 'harder', 'ignore', 'minor', 'problem', 'make', 'hilton', 'undeserving', 'term', 'luxury', 'hotel', 'noisy', 'neighbor', 'rude', 'staff', 'state', 'bathroom', 'towel', 'anything', 'go', 'upon', 'checkout', 'doubt', 'sheet', 'change', 'even', 'next', 'time', ""i'll"", 'ignore', 'hype', 'stay', 'somewhere', 'cheap', 'service', 'possibly', 'bad']",negative,deceptive
MTurk,hilton,"['husband', 'recently', 'stay', 'stay', 'hilton', 'chicago', 'horrible', 'experience', 'arrive', 'front', 'desk', 'clerk', 'phone', 'sound', 'like', 'personal', 'call', 'even', 'acknowledge', 'us', 'least', 'five', 'minute', 'get', 'room', 'go', 'lay', 'bed', 'notice', 'black', 'hair', 'pillow', ""i'm"", 'paranoid', 'hotel', 'dirty', 'pull', 'back', 'sheet', 'move', 'pillow', 'around', 'notice', 'several', 'hair', 'call', 'new', 'sheet', 'say', 'would', 'send', 'right', 'actually', 'take', 'nearly', '30', 'minute', 'second', 'night', 'decide', 'try', 'irish', 'pub', 'hotel', 'call', 'kitty', ""o'sheas"", 'husband', 'love', 'pub', 'food', ""shepherd's"", 'pie', 'awful', 'watery', 'flavor', 'cheap', 'server', 'seem', 'annoyed', 'complain', 'offer', 'take', 'check', 'great', 'trip', 'chicago', 'hilton', 'definitely', 'highlight', 'trip', 'overall', 'rude', 'service', 'dirty', 'room', 'bad', 'food', 'spend', 'money', 'elsewhere']",negative,deceptive
MTurk,hilton,"['wife', 'book', 'room', 'hilton', 'chicago', 'three', 'weekend', 'ago', 'downtown', 'hotel', 'well', 'know', 'brand', 'know', 'go', 'pay', 'little', 'additional', 'price', 'expect', 'get', 'quality', 'hotel', 'expect', 'minutia', 'luxury', 'however', 'case', 'hilton', 'chicago', 'first', 'reserve', 'room', 'king', 'size', 'bed', 'available', 'stick', 'queen', 'size', 'bed', 'get', 'reduced', 'price', 'make', 'reservation', 'expect', 'accommodate', 'ask', 'second', 'change', 'room', 'key', 'twice', 'room', 'key', 'use', 'supposedly', 'lose', 'charge', 'front', 'desk', 'tell', 'us', 'go', 'room', 'find', 'key', 'work', 'come', 'back', 'stair', 'get', 'new', 'key', 'get', 'back', 'highly', 'unprofessional', 'really', 'need', 'look', 'key', 'system', 'lastly', 'tell', 'end', 'stay', 'charge', 'room', 'know', 'accurate', 'always', 'check', 'case', 'two', 'week', 'later', 'check', 'credit', 'card', 'additional', 'two', 'hundred', 'dollar', 'charge', 'card', 'call', 'argue', 'twenty', 'minute', 'take', 'card', 'suffice', 'say', 'stay']",negative,deceptive
MTurk,hilton,"['hotel', 'rat', 'four', 'diamond', 'aaa', 'one', 'would', 'think', 'hilton', 'chicago', 'would', 'almost', 'like', 'stay', 'palace', 'royalty', 'royal', 'thing', 'hotel', 'however', 'royal', 'nightmare', 'know', 'moment', 'walk', 'wife', 'go', 'become', 'big', 'headache', 'worth', 'first', 'soon', 'arrive', 'check', 'hotel', 'clerk', 'old', 'nineteen', 'twenty', 'red', 'flag', 'start', 'go', 'clerk', 'extremely', 'rude', 'lazy', 'act', 'like', 'chore', 'even', 'get', 'texting', 'cell', 'phone', 'bad', 'enough', 'clerk', 'pretty', 'much', 'ignore', 'blatantly', 'star', ""wife's"", 'breast', 'even', 'wear', 'anything', 'could', 'consider', 'skimpy', 'cold', 'wear', 'turtle', 'neck', 'sweater', 'large', 'fur', 'line', 'coat', 'divert', 'atention', 'several', 'time', 'finally', 'get', 'room', 'key', 'surprise', 'learn', 'one', 'help', 'us', 'luggage', 'clerk', 'say', 'break', 'okay', 'annoy', 'manage', 'easy', 'enough', 'finally', 'get', 'third', 'floor', 'suite', 'reserve', 'month', 'look', 'forward', 'rest', 'long', 'trip', 'surprise', 'mention', 'disgust', 'horror', 'already', 'couple', 'suppose', 'room', 'bed', 'make', 'take', 'almost', 'half', 'hour', 'couple', 'room', 'front', 'desk', 'wife', 'get', 'straighten', 'apparently', 'night', 'clerk', 'bother', 'follow', 'policy', 'take', 'reservation', 'computer', 'give', 'friend', 'leave', 'printed', 'card', 'day', 'clerk', 'could', 'describe', 'chaos', 'finally', 'give', 'another', 'room', 'next', 'floor', 'thankful', 'get', 'wife', 'go', 'use', 'bathroom', 'drop', 'luggage', 'bed', 'hear', 'clink', 'sound', 'bend', 'look', 'one', 'bag', 'could', 'hit', 'see', 'empty', 'beer', 'bottle', 'stick', 'bed', 'call', 'back', 'give', 'clerk', 'piece', 'mind', 'hear', 'wife', 'cry', 'wall', 'bathroom', 'several', 'roach', 'crawl', 'around', 'notice', 'something', 'else', 'sink', 'almost', 'make', 'us', 'leave', 'sink', 'plain', 'sight', 'used', 'condom', 'far', 'less', 'thrill', 'stomred', 'back', 'downstairs', 'demand', 'money', 'back', 'desk', 'manager', 'return', 'ever', 'go', 'talk', 'us', 'take', 'another', 'room', 'free', 'charge', 'make', 'trouble', 'room', 'thankfully', 'clean', 'bug', 'trash', 'disgusting', 'item', 'lay', 'around', 'despite', 'lot', 'small', 'promised', 'view', 'room', 'decide', 'make', 'due', 'wife', 'go', 'get', 'clean', 'long', 'trip', 'pull', 'laptop', 'use', 'called', 'high', 'speed', 'internet', 'access', 'even', 'bother', ""i've"", 'use', 'dial', 'go', 'least', 'three', 'time', 'fast', 'speed', 'get', 'quick', 'call', 'desk', 'inform', 'person', 'responsible', 'internet', 'go', 'day', 'nothing', 'could', 'do', 'moment', 'instead', 'worry', 'go', 'get', 'something', 'eat', 'onsite', 'dinning', 'area', 'yet', 'meet', 'rude', 'people', 'either', 'star', ""wife's"", 'chest', 'forget', 'half', 'order', 'argue', 'seem', 'like', 'forever', 'get', 'everything', 'find', 'found', 'bland', 'cold', 'even', 'bother', 'try', 'anything', 'else', 'final', 'straw', 'get', 'thing', 'find', 'another', 'hotel', 'know', 'would', 'hire', 'bunch', 'rude', 'employee', 'barely', 'high', 'school', 'clean', 'room', 'know', 'hotel', 'deserve', 'four', 'diamond', 'unless', 'negative', 'place', 'shut', 'way', 'know', 'run', 'decent', 'hotel']",negative,deceptive
MTurk,hilton,"['high', 'hope', 'hilton', 'chicago', 'sad', 'say', 'disapointed', 'outrageously', 'expensive', '200', 'two', 'people', 'one', 'night', 'expect', 'pay', '40', 'park', 'car', 'offer', 'free', 'wi-fi', 'instead', 'pay', '20', 'get', 'internet', 'room', 'wait', '3', 'pm', 'check', 'even', 'though', 'flight', 'morning', 'rent', 'car', 'airport', 'hotel', 'offer', 'transportation', 'stress', 'hilton', 'chicago', 'hotel', 'bar', 'either', 'doubt', 'stay']",negative,deceptive
MTurk,hilton,"['book', 'room', 'hilton', 'chicago', 'two', 'night', 'stay', 'weekend', 'upon', 'arrival', 'reservation', 'could', 'find', 'even', 'provide', 'hotel', 'confirmation', 'number', 'still', 'available', 'fortunately', 'another', 'reservation', 'show', 'space', 'available', 'us', 'settle', 'room', 'night', 'long', 'flight', 'bad', 'odor', 'come', 'bathroom', 'apparently', 'clean', 'solution', 'use', 'taint', 're-clean', 'arrival', 'needle', 'say', 'poor', 'experience', 'one', 'night', 'hesitant', 'ever', 'stay', 'hotel', 'let', 'alone', 'hilton', 'around', 'please', 'consider', 'someplace', 'else', 'hilton', 'chicago']",negative,deceptive
MTurk,hilton,"[""i've"", 'stay', 'hotel', 'chicago', 'first', 'absolutely', 'horrify', 'experience', 'first', 'staff', 'incredibly', 'rude', 'could', 'live', 'busy', 'person', 'would', 'get', 'cell', 'phone', 'check', 'want', 'pull', 'hair', 'room', 'also', 'horrid', 'smell', 'like', 'sex', 'cigar', 'smoke', 'bad', 'convince', 'politician', 'check', 'use', 'cheap', 'affair', 'also', 'look', 'dry', 'snot', 'shower', 'curtain', 'mark', 'word', 'never', 'stay', 'dump']",negative,deceptive
